id,batch_id,source_table,reference_table,matching_algorithm,matched_data,status,confidence_score,created_at,matching_type
7435418,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15420, 'id_2': 15429, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. terusan kesatrian no.1, kesatrian, kec. blimbing, kota malang, jawa timur 65121 tk kartika iv-4 tk kartika iv-4 rt 005 rw 003 112.6451884', 'combined_2': 'jl. terusan kesatrian no.74, kesatrian, kec. blimbing, kota malang, jawa timur 65121 tk kartika iv-79 tk kartika iv-79 rt 002 rw 004 112.6445191', 'confidence': 0.9998250603675842, 'faiss_score': 0.857729971408844, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.493749+00:00,Self Match
7435417,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15429, 'id_2': 15420, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. terusan kesatrian no.74, kesatrian, kec. blimbing, kota malang, jawa timur 65121 tk kartika iv-79 tk kartika iv-79 rt 002 rw 004 112.6445191', 'combined_2': 'jl. terusan kesatrian no.1, kesatrian, kec. blimbing, kota malang, jawa timur 65121 tk kartika iv-4 tk kartika iv-4 rt 005 rw 003 112.6451884', 'confidence': 0.9998250603675842, 'faiss_score': 0.857729971408844, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.486563+00:00,Self Match
7435416,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15390, 'id_2': 15393, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. terusan ijen no.8, bareng, kec. klojen, kota malang, jawa timur 65116 ning salon ning salon rt 009 rw 004 112.620376', 'combined_2': 'jl. terusan ijen no.857, bareng, kec. klojen, kota malang, jawa timur 65116 nita salon nita salon rt 001 rw 004 112.6200151', 'confidence': 0.9998250603675842, 'faiss_score': 0.8160560131072998, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.480985+00:00,Self Match
7435415,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15393, 'id_2': 15390, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. terusan ijen no.857, bareng, kec. klojen, kota malang, jawa timur 65116 nita salon nita salon rt 001 rw 004 112.6200151', 'combined_2': 'jl. terusan ijen no.8, bareng, kec. klojen, kota malang, jawa timur 65116 ning salon ning salon rt 009 rw 004 112.620376', 'confidence': 0.9998250603675842, 'faiss_score': 0.8160560131072998, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.472530+00:00,Self Match
7435414,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15308, 'id_2': 15311, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. ters. wijayakusuma atas no.16, jatimulyo, kec. lowokwaru, kota malang, jawa timur 65141 kost putri twka 16 kost putri twka 16 rt 006 rw 008 112.6276226', 'combined_2': 'jl. ters. wijayakusuma atas no.50, jatimulyo, kec. lowokwaru, kota malang, jawa timur 65141 kost putri twka 50 kost putri twka 50 rt 006 rw 008 112.6255659', 'confidence': 0.9998250603675842, 'faiss_score': 0.8540099859237671, 'fuzzy_score': 93, 'source_table': 'ganda', 'fuzzy_combined': 93, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.466513+00:00,Self Match
7435413,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15311, 'id_2': 15308, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. ters. wijayakusuma atas no.50, jatimulyo, kec. lowokwaru, kota malang, jawa timur 65141 kost putri twka 50 kost putri twka 50 rt 006 rw 008 112.6255659', 'combined_2': 'jl. ters. wijayakusuma atas no.16, jatimulyo, kec. lowokwaru, kota malang, jawa timur 65141 kost putri twka 16 kost putri twka 16 rt 006 rw 008 112.6276226', 'confidence': 0.9998250603675842, 'faiss_score': 0.8540099859237671, 'fuzzy_score': 93, 'source_table': 'ganda', 'fuzzy_combined': 93, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.459736+00:00,Self Match
7435412,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15229, 'id_2': 15233, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': ""jl. teluk mandar no.55, arjosari, kec. blimbing, kota malang, jawa timur 65126 smp unggulan al-ya'lu malang smp unggulan al-ya'lu malang rt 006 rw 003 112.6598711"", 'combined_2': 'jl. teluk mandar, arjosari, kec. blimbing, kota malang, jawa timur 65126 tk unggulan al ya`lu malang tk unggulan al ya`lu malang rt 006 rw 003 112.6596759', 'confidence': 0.9998250603675842, 'faiss_score': 0.805351972579956, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.454010+00:00,Self Match
7435411,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15233, 'id_2': 15229, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. teluk mandar, arjosari, kec. blimbing, kota malang, jawa timur 65126 tk unggulan al ya`lu malang tk unggulan al ya`lu malang rt 006 rw 003 112.6596759', 'combined_2': ""jl. teluk mandar no.55, arjosari, kec. blimbing, kota malang, jawa timur 65126 smp unggulan al-ya'lu malang smp unggulan al-ya'lu malang rt 006 rw 003 112.6598711"", 'confidence': 0.9998250603675842, 'faiss_score': 0.805351972579956, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.415697+00:00,Self Match
7435410,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 14825, 'id_2': 14827, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. sumbersari gg. iv-a no.257a, sumbersari, kec. lowokwaru, kota malang, jawa timur 65145 kost putri 257a kost putri 257a rt 007 rw 001 112.6105649', 'combined_2': 'jl. sumbersari gg. iv-a no.260a, sumbersari, kec. lowokwaru, kota malang, jawa timur 65145 kos putri 260a kos putri 260a rt 007 rw 001 112.610625', 'confidence': 0.9998250603675842, 'faiss_score': 0.7639229893684387, 'fuzzy_score': 93, 'source_table': 'ganda', 'fuzzy_combined': 93, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.409208+00:00,Self Match
7435409,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 14827, 'id_2': 14825, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. sumbersari gg. iv-a no.260a, sumbersari, kec. lowokwaru, kota malang, jawa timur 65145 kos putri 260a kos putri 260a rt 007 rw 001 112.610625', 'combined_2': 'jl. sumbersari gg. iv-a no.257a, sumbersari, kec. lowokwaru, kota malang, jawa timur 65145 kost putri 257a kost putri 257a rt 007 rw 001 112.6105649', 'confidence': 0.9998250603675842, 'faiss_score': 0.7639229893684387, 'fuzzy_score': 93, 'source_table': 'ganda', 'fuzzy_combined': 93, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.404489+00:00,Self Match
